City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Ribeira Grande,PT,2022-02-11 17:39:33,38.5167,-28.7,290.37,59,75,3.6
223,Cabedelo,BR,2022-02-11 17:39:33,-6.9811,-34.8339,304.52,63,59,5.07
224,Airai,TL,2022-02-11 17:37:16,-8.9266,125.4092,288.94,94,100,0.24
225,Lasa,IT,2022-02-11 17:35:52,46.6166,10.7002,281.1,92,73,3.35
226,Christchurch,NZ,2022-02-11 17:36:08,-43.5333,172.6333,289.83,93,75,2.57
227,Yumen,CN,2022-02-11 17:40:34,40.2833,97.2,268.3,46,96,2.61
228,Geraldton,AU,2022-02-11 17:40:34,-28.7667,114.6,296.38,88,52,3.09
229,Whitianga,NZ,2022-02-11 17:40:35,-36.8333,175.7,296.49,98,97,4.08
230,Longyearbyen,SJ,2022-02-11 17:40:35,78.2186,15.6401,267.06,86,75,2.57
231,Sargatskoye,RU,2022-02-11 17:40:35,55.6101,73.4972,247.37,98,7,3.45
232,Chara,RU,2022-02-11 17:40:36,56.9064,118.2631,239.68,86,58,0.46
233,Kraslava,LV,2022-02-11 17:40:36,55.8951,27.168,273.19,89,97,3.5
234,Takoradi,GH,2022-02-11 17:40:37,4.8845,-1.7554,300.87,76,8,4.68
235,Manama,BH,2022-02-11 17:40:37,26.2154,50.5832,293.9,69,0,4.63
236,Oyama,JP,2022-02-11 17:40:37,36.3,139.8,278.48,59,6,1.24
237,Marawi,PH,2022-02-11 17:40:38,7.9986,124.2928,292.4,95,49,0.49
238,Akdepe,TM,2022-02-11 17:40:38,42.0551,59.3788,275.2,60,5,2.7
239,Smolenskoye,RU,2022-02-11 17:40:39,52.3044,85.0781,244.59,100,45,1.36
240,Chuy,UY,2022-02-11 17:40:39,-33.6971,-53.4616,301.6,57,1,6.08
241,Mantua,IT,2022-02-11 17:40:40,45.1667,10.7833,285.33,84,100,1.34
242,Kedrovyy,RU,2022-02-11 17:40:40,56.1667,91.8167,244.74,99,12,1.6
243,Cidreira,BR,2022-02-11 17:40:41,-30.1811,-50.2056,299.1,74,0,7.27
244,Kavieng,PG,2022-02-11 17:40:41,-2.5744,150.7967,300.64,78,98,3.61
245,Harnosand,SE,2022-02-11 17:40:41,62.6323,17.9379,267.15,76,4,7.84
246,Kenmare,IE,2022-02-11 17:40:42,51.8833,-9.5833,282.28,86,100,7.61
247,Praia Da Vitoria,PT,2022-02-11 17:40:42,38.7333,-27.0667,290.29,72,75,2.55
248,Ahipara,NZ,2022-02-11 17:37:10,-35.1667,173.1667,296.68,93,98,5.62
249,Voh,NC,2022-02-11 17:40:43,-20.9667,164.7,297.34,92,100,1.68
250,Sibolga,ID,2022-02-11 17:40:43,1.7427,98.7792,297.61,86,99,1.33
251,Northam,GB,2022-02-11 17:40:43,51.0333,-4.2167,280.13,74,100,4.44
252,Vilyuysk,RU,2022-02-11 17:40:44,63.7553,121.6247,244.2,100,94,1.4
253,Vernon,CA,2022-02-11 17:39:43,50.2581,-119.2691,278.78,69,83,2.06
254,Rancagua,CL,2022-02-11 17:40:44,-34.1708,-70.7444,297.07,46,0,5.14
255,Husavik,IS,2022-02-11 17:40:45,66.0449,-17.3389,270.1,90,98,2.77
256,Batagay-Alyta,RU,2022-02-11 17:40:45,67.8006,130.4114,243.05,88,74,2.38
257,Tocopilla,CL,2022-02-11 17:40:45,-22.092,-70.1979,296.13,60,5,3.17
258,Mapiripan,CO,2022-02-11 17:40:46,2.8892,-72.1256,306.84,37,100,4.4
259,Adrar,MR,2022-02-11 17:40:46,20.5022,-10.0711,296.1,12,3,6.83
260,Yar-Sale,RU,2022-02-11 17:40:47,66.8333,70.8333,255.77,80,81,7.99
261,Hambantota,LK,2022-02-11 17:40:47,6.1241,81.1185,298.3,87,99,5.7
262,Sterling,US,2022-02-11 17:39:20,39.0062,-77.4286,290.56,33,20,6.26
263,Brae,GB,2022-02-11 17:37:10,60.3964,-1.353,278.1,75,100,7.75
264,Nouadhibou,MR,2022-02-11 17:40:48,20.931,-17.0347,303.14,21,90,5.14
265,Beringovskiy,RU,2022-02-11 17:40:48,63.05,179.3167,239.71,96,72,4.37
266,Olafsvik,IS,2022-02-11 17:40:49,64.8945,-23.7142,272.78,77,100,7.88
267,Taicheng,CN,2022-02-11 17:40:49,38.731,113.228,268.91,59,61,1.66
268,Aksu,CN,2022-02-11 17:40:49,41.1231,80.2644,270.46,46,4,0.82
269,Landerneau,FR,2022-02-11 17:40:50,48.4525,-4.2525,281.64,68,0,2.57
270,Nuevo Progreso,MX,2022-02-11 17:41:50,23.1667,-97.95,294.59,83,98,1.34
271,Nara,JP,2022-02-11 17:40:14,34.6851,135.8049,277.75,62,20,0.35
272,Curup,ID,2022-02-11 17:41:50,-3.4667,102.5333,292.01,91,95,0.64
273,Zhangye,CN,2022-02-11 17:41:51,38.9342,100.4517,268.33,66,100,3.12
274,Itapaci,BR,2022-02-11 17:41:51,-14.9508,-49.5494,297.8,78,97,1.14
275,Kudahuvadhoo,MV,2022-02-11 17:41:52,2.6708,72.8944,300.98,66,100,2.18
276,Taltal,CL,2022-02-11 17:41:52,-25.4,-70.4833,294.82,65,2,2.8
277,Pevek,RU,2022-02-11 17:41:52,69.7008,170.3133,241.36,98,100,2.95
278,Waingapu,ID,2022-02-11 17:41:53,-9.6567,120.2641,298.91,84,100,1.19
279,Manzanillo,CU,2022-02-11 17:41:53,20.3433,-77.1167,304.42,46,4,3.01
280,Bilibino,RU,2022-02-11 17:41:54,68.0546,166.4372,235.03,97,39,1.08
281,Lafia,NG,2022-02-11 17:41:54,8.4833,8.5167,304.81,8,39,1.09
282,Gotsu,JP,2022-02-11 17:41:55,35.0,132.2167,277.83,78,86,2.01
283,Kinsale,IE,2022-02-11 17:41:55,51.7075,-8.5306,281.61,76,75,9.26
284,Tuatapere,NZ,2022-02-11 17:41:55,-46.1333,167.6833,284.72,85,89,2.88
285,Alofi,NU,2022-02-11 17:41:56,-19.0595,-169.9187,297.09,94,7,2.57
286,Dingle,PH,2022-02-11 17:41:28,10.9995,122.6711,296.85,92,100,3.05
287,Camacha,PT,2022-02-11 17:41:56,33.0833,-16.3333,290.57,77,40,6.17
288,Pokhara,NP,2022-02-11 17:39:02,28.2333,83.9833,282.44,54,48,2.56
289,Deputatskiy,RU,2022-02-11 17:41:57,69.3,139.9,245.05,97,94,2.57
290,Belluru,IN,2022-02-11 17:41:57,12.9911,76.7444,292.63,51,14,2.73
291,Puerto Del Rosario,ES,2022-02-11 17:41:58,28.5004,-13.8627,293.01,73,20,1.54
292,Nabire,ID,2022-02-11 17:41:58,-3.3667,135.4833,296.61,96,100,1.13
293,Lata,PT,2022-02-11 17:41:59,40.1629,-8.3327,290.21,77,68,1.87
