City_ID,Hotel Name,City,Country,Max Temp,Lat,Lng
537,Holiday Inn Express Richmond ,Richmond,US,18.930000000000007,37.55,-77.46
543,Hospedaje Familiar,Carahue,CL,28.110000000000014,-38.7,-73.17
544,Golden Berries Hotel and Convention,Tabuk,PH,21.08000000000004,17.42,121.44
551,Foyer ADM,Mitsamiouli,KM,25.78000000000003,-11.38,43.28
552,Hot Springs Resort,Hagere Hiywet,ET,20.04000000000002,8.98,37.85
555,Hôtel & Restaurant DIANA Ambilobe,Ambilobe,MG,22.980000000000018,-13.2,49.05
557,Direct Hotels ,Moranbah,AU,21.590000000000032,-22.0,148.05
560,Senthil Residency,Dindigul,IN,26.189999999999998,10.35,77.95
564,penginapan citra alam,Sungaipenuh,ID,18.180000000000007,-2.08,101.38
567,Raybow International Hotel,Takoradi,GH,28.600000000000023,4.88,-1.76
574,Rancho das Pedras Hotel,Itabera,BR,27.920000000000016,-23.86,-49.14
576,Dena Hotel,Soe,ID,19.07000000000005,-9.86,124.28
580,Swiss,Ambon,ID,25.08000000000004,-3.7,128.18
581,Storyboard Beach Resort,Kloulklubed,PW,27.28000000000003,7.04,134.26
586,Fengshui Residence,Port-Gentil,GA,28.980000000000018,-0.72,8.78
587,Welcombe Hotel,Trincomalee,LK,26.25,8.57,81.23
588,Sur Plaza Hotel,Sur,OM,21.450000000000045,22.57,59.53
589,Butterfly Beach Hotel,Oistins,BB,25.05000000000001,13.07,-59.53
592,Red Sea Hotel,Bosaso,SO,24.5,11.28,49.18
593,Tharrakamma Guest House,Vredendal,ZA,25.30000000000001,-31.67,18.5
595,Rayen,Vilcun,CL,26.410000000000025,-38.65,-72.23
602,Molika Springs Motel,Moree,AU,17.010000000000048,-29.47,149.85
606,Haji Ayub Residence,Dera Ismail Khan,PK,15.330000000000041,31.83,70.9
611,Sunrise Attitude Hotel,Quatre Cocos,MU,27.060000000000002,-20.21,57.76
612,Hotel Plaza,Doctor Arroyo,MX,15.430000000000007,23.67,-100.18
614,Desert Palms Alice Springs,Alice Springs,AU,17.75,-23.7,133.88
615,H10 Taburiente Playa,Santa Cruz De La Palma,ES,20.08000000000004,28.68,-17.76
621,Dwi Putra Hotel ,Ende,ID,24.629999999999995,-8.84,121.66
627,Bhelekazi Guesthouse,Colesberg,ZA,29.79000000000002,-30.72,25.1
628,La Cimarrona,Maldonado,UY,18.660000000000025,-34.67,-54.92
631,Elbintu Restaurant And Motel,Funtua,NG,28.310000000000002,11.52,7.31
633,Pousada e churrascaria Manguaba,Pilar,BR,28.960000000000036,-9.6,-35.96
638,Kimbe Bay Hotel,Kimbe,PG,23.689999999999998,-5.55,150.14
640,أبو تركي للوحدات السكنيه,Faya,SA,16.060000000000002,18.39,42.45
641,Mantra Trilogy Cairns,Cairns,AU,25.970000000000027,-16.92,145.77
645,Hotel Vision,Cuamba,MZ,21.0,-14.8,36.54
647,Aldea del Bazar Hotel and Spa,Puerto Escondido,MX,28.460000000000036,15.85,-97.07
648,Crystal Beach and Camping Resort Ormara,Ormara,PK,21.82000000000005,25.21,64.64
650,Chef Jassy,Miramar,US,28.010000000000048,25.99,-80.23
651,Fishermans Guest House,Henties Bay,,23.810000000000002,-22.12,14.28
653,Siball Hotel,Abancay,PE,16.58000000000004,-13.63,-72.88
656,Heritage Park Hotel,Honiara,SB,24.600000000000023,-9.43,159.95
658,La pousada,Camopi,GF,25.900000000000034,3.17,-52.32
659,Paris Day Hotel Pamanukan,Pamanukan,ID,25.560000000000002,-6.28,107.81
665,San Francisco de La Selva,Copiapo,CL,21.83000000000004,-27.37,-70.33
666,Hotel Wixel,Kendari,ID,24.32000000000005,-3.94,122.5
670,Hôtel Trois Étoiles de Biltine,Biltine,TD,27.670000000000016,14.53,20.92
671,Bienvenue chez vous,Kenitra,MA,20.400000000000034,34.26,-6.58
672,Hotel Swagath,Rayagada,IN,18.160000000000025,19.17,83.42
673,Pirineos,San Cristobal,VE,24.100000000000023,7.77,-72.22
678,Hotel Santa Cruz,Rio Gallegos,AR,20.03000000000003,-51.62,-69.22
680,carroceria y pintura Kikones,Estacion Coahuila,MX,23.870000000000005,32.19,-115.0
682,Hotel Zuniama,Dulce Nombre De Culmi,HN,28.129999999999995,15.1,-85.53
683,InterContinental Riyadh,Riyadh,SA,16.08000000000004,24.69,46.72
684,Quiver Inn Guesthouse,Keetmanshoop,,28.510000000000048,-26.58,18.13
687,Crôa Mares Hotel,Sao Jose Da Coroa Grande,BR,29.80000000000001,-8.9,-35.15
689,OYO Hotel Garate,General Teran,MX,22.860000000000014,25.27,-99.68
690,Hotel Bukik Gadang,Sijunjung,ID,22.590000000000032,-0.69,100.95
691,Hotel Boutique Quinta das Videiras,Florianopolis,BR,29.200000000000045,-27.61,-48.5
693,Hotel Arena Blanca,San Andres,CO,28.010000000000048,12.58,-81.7
695,Studio,Mount Vernon,US,15.03000000000003,40.91,-73.84
696,BON Hotel Waterfront Richards Bay,Richards Bay,ZA,24.840000000000032,-28.78,32.04
700,Rio Xingu Camping,Sao Felix Do Xingu,BR,22.189999999999998,-6.64,-52.0
701,Oakhollow RV Park,Friendswood,US,18.350000000000023,29.53,-95.2
702,Hotel Branco I,Praia Da Vitoria,PT,18.140000000000043,38.73,-27.07
